# colloquial.tsv -- informal <TAB> formal <TAB> source. Tehrani colloquial
# spellings and the formal word they stand for. Sources: hazm 0.12.1
# (iwords.dat and InformalNormalizer's direct table) and shekar 1.6.3
# (informal_words.csv), both MIT. Identity pairs and multi-word keys dropped;
# hazm wins a clash.
آتیش	آتش	hazm
آخه	آخر	hazm
آروم	آرام	hazm
آرومی	آرام	hazm
آسمون	آسمان	hazm
آسون	آسان	hazm
آسون‌تر	آسان‌تر	hazm
آشپزخونه	آشپزخانه	hazm
آشیونه	آشیانه	shekar
آقایون	آقایان	hazm
آنرا	آن را	hazm
آویزون	آویزان	shekar
ابدن	ابداً	hazm
ابرام	ابراهیم	hazm
ابروکمون	ابروکمان	shekar
ابی	آبی	hazm
اتفاقن	اتفاقاً	hazm
اجبارن	اجباراً	hazm
احتمالن	احتمالاً	hazm
اخر	آخر	hazm
اخه	آخر	hazm
ادم	آدم	hazm
ادمیزاد	آدمیزاد	hazm
ارزون	ارزان	hazm
اروا	ارواح	hazm
ازاد	آزاد	hazm
ازت	از تو	hazm
ازمون	آزمون	hazm
اسلا	اصلاً	hazm
اسلن	اصلاً	hazm
اشک‌ریزون	اشک‌ریزان	shekar
اصفاهان	اصفهان	shekar
اصفهون	اصفهان	shekar
اصفهونی	اصفهانی	shekar
اصلن	اصلاً	hazm
اصن	اصلاً	hazm
اصولن	اصولاً	hazm
اعیونی	اعیانی	shekar
افتاب	آفتاب	hazm
افشون	افشان	shekar
اقای	آقای	hazm
اقلن	اقلاً	hazm
البت	البته	hazm
امار	آمار	hazm
امبر	انبر	hazm
اموزشگاه‌	آموزشگاه	hazm
انرا	آن را	hazm
انقد	آنقدر	hazm
انقدر	آنقدر	hazm
انقدری	آنقدری	hazm
انقدی	آنقدری	shekar
اوس	استاد	hazm
اوسا	استاد	hazm
اوستا	استاد	shekar
اولن	اولاً	hazm
اومد	آمد	hazm
اومدند	آمدند	hazm
اومده‌	آمده	hazm
اون	آن	hazm
اونا	آن‌ها	hazm
اونجا	آنجا	hazm
اونقد	آنقدر	hazm
اونقدر	آنقدر	hazm
اونقدرها	آنقدرها	hazm
اونقدری	آنقدر	hazm
اونقدی	آنقدری	shekar
اونم	آن هم	hazm
